Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,4/12/20,3563,93,,3470,75.98802021,21583,437,2.610159978,460.3001516,12.26494527,616434,16,158,298,358,102,27,24,3513,5877,16,48,572,350,148,105,443,639,12,97,67,346,167,2331,348,26,60,41,14,141,103,185,530,9,352,179,64,227,15,395,22,2390,1349,62,8,373,79,59,212,55
Alabama,4/13/20,3734,99,,3635,79.63493333,29182,457,2.651312266,622.3638523,12.23888591,784114,8,176,399,421,147,47,17,5566,10273,14,50,686,432,196,103,563,927,18,124,74,351,193,4048,405,12,62,63,19,163,102,222,683,12,467,214,47,309,15,552,19,3641,1862,60,12,458,78,69,256,42
Alabama,4/14/20,3953,114,,3839,84.30554137,33117,493,2.883885656,706.2855081,12.4715406,756555,13,148,370,421,125,56,9,5268,10806,12,32,656,455,154,221,607,1022,16,103,72,333,186,4071,465,20,70,36,13,151,101,231,831,15,464,200,42,331,31,527,18,3884,1598,78,13,469,88,96,256,60
Alabama,4/15/20,4075,118,,3957,86.9074326,34077,525,2.895705521,726.7594063,12.88343558,786938,12,158,401,369,151,65,13,5429,10881,18,36,671,476,144,185,589,952,15,143,74,333,170,4424,452,24,63,46,14,158,86,237,750,24,447,225,41,315,31,513,18,4124,1489,79,12,490,79,92,229,50
Alabama,4/16/20,4345,133,,4212,92.66571648,36391,553,3.060989643,776.1100318,12.72727273,792072,9,140,649,341,170,30,17,5532,10935,12,38,737,498,190,175,604,1004,18,127,83,345,159,4773,492,10,75,34,12,149,77,222,728,15,407,229,59,307,15,509,31,4172,1460,86,9,484,75,57,232,42
Alabama,4/17/20,4571,148,,4423,97.48561335,37848,594,3.237803544,807.1834378,12.99496828,846587,10,176,683,380,180,21,10,6045,11914,12,35,705,457,170,183,592,956,11,134,76,340,176,5086,418,13,66,51,9,123,96,196,789,18,405,249,55,249,16,568,27,4821,1441,70,13,492,92,61,255,64
Alabama,4/18/20,4712,153,,4559,100.4927172,42538,620,3.247028862,907.2069615,13.15789474,783567,10,170,650,330,146,17,11,5773,10203,20,35,639,435,170,200,581,860,17,110,58,340,163,4796,434,30,79,43,11,130,134,193,702,8,326,242,47,272,9,480,28,4806,1383,47,14,457,77,55,234,40
Alabama,4/19/20,4888,157,,4731,104.2462652,45712,641,3.211947627,974.8987875,13.11374795,619458,11,155,412,367,144,31,11,4395,6629,17,38,626,397,158,140,544,793,23,127,80,335,160,2958,401,30,52,42,20,133,129,204,572,19,365,209,38,263,15,416,24,3464,1267,52,8,377,84,54,240,42
Alabama,4/20/20,5079,163,,4916,108.3197178,45900,641,3.209293168,978.9082592,12.62059461,804750,8,166,482,473,210,33,18,5604,10998,14,33,701,500,153,169,637,951,27,144,94,404,203,4509,490,21,56,54,12,144,86,254,777,30,456,220,59,301,14,546,24,4432,1576,70,10,407,114,70,308,27
Alabama,4/21/20,5317,183,,5134,113.3955384,48526,699,3.441790483,1034.912902,13.14651119,834554,12,187,487,436,210,33,16,6622,12301,22,39,820,552,194,182,692,1110,24,165,84,424,206,4959,595,19,71,59,16,176,109,246,884,16,539,258,59,342,14,671,22,4696,1734,76,10,513,109,83,317,46
Alabama,4/22/20,5593,196,,5397,119.2817842,48760,730,3.504380476,1039.903414,13.05202932,838235,8,224,432,441,235,44,16,6540,12584,16,53,829,618,222,166,696,1187,27,130,82,398,192,5145,557,21,73,62,13,183,130,295,860,15,509,212,97,369,18,657,35,4678,1681,85,10,575,88,91,325,59
Alabama,4/23/20,5832,202,,5630,124.3789318,52641,768,3.463648834,1122.673413,13.16872428,778664,17,222,482,437,194,43,14,6085,11524,14,31,871,581,224,203,675,1218,25,132,91,406,197,4716,558,31,85,68,16,165,124,271,837,24,496,272,83,343,20,693,36,4452,1797,86,13,556,78,87,311,56
Alabama,4/24/20,6026,209,,5817,128.5163654,52889,769,3.468304016,1127.962504,12.76136741,892777,17,190,467,448,176,34,19,8122,13699,16,37,798,591,189,197,704,1155,14,131,89,416,192,6084,564,28,84,65,9,160,144,242,761,28,467,276,75,320,20,715,38,5316,1767,82,9,489,84,88,268,50
Alabama,4/25/20,6026,209,,5817,128.5163654,71344,839,3.468304016,1521.55187,13.92300033,807204,8,169,395,491,186,47,19,8544,11986,12,40,697,538,188,213,640,935,24,144,79,352,151,5901,567,22,97,65,19,151,147,241,696,23,414,240,45,312,21,626,38,4765,1690,66,12,454,73,80,251,63
Alabama,4/26/20,6421,219,,6202,136.9405214,73551,845,3.410683694,1568.620509,13.15994393,719330,11,152,378,461,170,42,19,7173,9696,11,42,694,438,156,193,530,857,24,140,81,365,162,4641,489,17,99,56,18,117,117,255,673,24,370,243,62,252,19,621,42,4017,1582,60,10,477,83,86,248,64
