Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,04-12-2020,3563,93,,3470.0,75.98802021,21583.0,437.0,2.610159978,460.3001516,12.26494527,616434,15,86,233,281,148,15,16,3303,5429,27,22,297,226,64,85,284,830,8,55,46,170,49,2329,219,12,43,44,10,55,68,196,779,28,251,198,39,186,11,377,10,2312,1320,58,10,316,77,30,74,12
Alabama,04-13-2020,3734,99,,3635.0,79.63493333293523,29182.0,457.0,2.6513122656668453,622.3638523089759,12.23888591322978,784114,19,94,334,345,153,13,14,4553,7433,29,21,346,274,89,130,397,990,11,40,50,215,74,4069,270,10,63,65,2,64,74,236,1267,33,260,206,26,247,11,532,13,3652,1661,82,8,339,76,38,82,14
Alabama,04-14-2020,3953,114,,3839.0,84.30554137,33117.0,493.0,2.8838856560000004,706.2855081,12.4715406,756555,14,121,335,322,141,14,18,4574,7803,29,19,321,251,78,121,383,1032,15,45,55,199,62,3942,363,18,52,62,7,69,73,219,1232,20,278,186,25,218,17,555,9,3607,1585,79,9,309,71,30,96,22
Alabama,04-15-2020,4075,118,,3957.0,86.90743260088672,34077.0,525.0,2.895705521472393,726.7594063166669,12.883435582822086,786938,21,113,362,311,139,11,15,4861,7561,33,16,375,262,67,106,383,1064,7,45,44,215,73,4066,293,13,63,44,5,64,68,220,1100,34,278,196,20,237,22,517,14,3903,1659,84,7,301,78,36,69,17
Alabama,04-16-2020,4345,133,,4212.0,92.66571647873691,36391.0,553.0,3.0609896432681243,776.1100318475752,12.727272727272727,792072,20,121,327,303,145,10,17,4754,8001,40,28,426,269,68,106,465,1072,11,60,63,205,61,4134,288,15,51,46,4,70,55,194,1015,33,283,210,16,247,18,515,19,3955,1632,110,2,288,77,40,76,27
Alabama,04-17-2020,4571,148,,4423.0,97.48561335427073,37848.0,594.0,3.2378035440822583,807.1834378106407,12.994968278276088,846587,22,129,310,348,157,11,15,5515,9479,33,22,397,286,55,119,419,1222,15,59,69,215,59,4731,287,13,44,59,8,63,82,252,1000,36,281,196,29,225,14,564,12,4602,1550,99,9,310,68,44,74,23
Alabama,04-18-2020,4712,153,,4559.0,100.49271715714805,42538.0,620.0,3.2470288624787766,907.2069614666307,13.157894736842106,783567,20,102,286,264,162,17,15,5318,10159,31,29,356,285,61,93,366,1211,10,42,63,168,56,4437,287,7,48,51,3,65,68,241,930,25,308,206,23,227,13,568,9,4436,1646,98,9,363,73,38,97,33
Alabama,04-19-2020,4888,157,,4731.0,104.24626516641337,45712.0,641.0,3.2119476268412437,974.8987874973584,13.113747954173489,619458,19,104,275,248,132,9,10,3969,6167,27,12,336,257,85,92,362,1085,9,52,55,159,47,3021,271,8,46,40,7,58,55,188,895,27,245,198,19,190,12,459,9,3188,1391,76,4,283,62,35,77,26
Alabama,04-20-2020,5079,163,,4916.0,108.3197178355592,45900.0,641.0,3.2092931679464463,978.908259234528,12.620594605237253,804750,21,121,341,318,161,19,10,4951,7807,30,14,384,318,86,110,456,1109,16,62,51,217,72,4176,310,9,55,52,6,71,65,236,1013,38,332,204,39,244,17,557,12,4050,1646,99,8,337,71,61,125,33
Alabama,04-21-2020,5317,183,,5134.0,113.39553843899748,48526.0,699.0,3.4417904833552755,1034.912901690952,13.14651119052097,834554,17,136,397,418,203,11,21,5670,8670,32,29,465,403,95,121,461,1188,11,75,53,227,80,4801,385,9,57,59,2,97,76,256,1024,39,422,242,49,243,21,577,22,4589,1838,122,6,352,91,58,136,37
Alabama,04-22-2020,5593,196,,5397.0,119.28178418079986,48760.0,730.0,3.504380475594493,1039.9034143850888,13.052029322367243,838235,17,144,415,392,179,18,14,5834,8816,42,28,546,388,110,131,467,1207,21,79,69,275,74,4646,436,20,58,82,4,89,65,270,976,40,438,270,43,289,17,633,18,4461,2025,99,25,400,85,79,126,31
Alabama,04-23-2020,5832,202,,5630.0,124.37893176156356,52641.0,768.0,3.4636488340192044,1122.6734133848536,13.168724279835393,778664,17,127,412,376,144,10,20,5035,7646,31,28,522,328,104,118,479,1170,16,87,55,254,74,4314,380,15,53,70,6,100,81,258,1166,25,396,248,27,314,11,639,18,4243,1945,104,11,373,106,51,129,25
Alabama,04-24-2020,6026,209,,5817.0,128.51636536268552,52889.0,769.0,3.4683040159309657,1127.9625037615456,12.761367407899106,892777,14,168,452,385,169,16,16,6403,10404,26,17,485,320,88,123,458,1358,15,98,58,258,92,5421,364,17,46,67,5,98,61,254,1156,35,377,230,38,297,21,676,19,5312,1962,112,10,392,74,45,143,25
Alabama,04-25-2020,6026,209,,5817.0,128.51636536268552,71344.0,839.0,3.4683040159309657,1521.5518703012674,13.92300033189512,807204,19,144,370,353,158,21,22,6397,11696,30,33,468,342,66,120,420,1285,16,87,70,233,110,5067,342,15,42,47,7,92,67,252,1048,49,377,215,43,257,13,696,21,4854,1926,99,3,409,97,44,108,33
Alabama,04-26-2020,6421,219,,6202.0,136.94052140620704,73551.0,845.0,3.4106836941286405,1568.620509258361,13.159943933966673,719330,13,118,356,341,134,18,16,5207,9194,26,23,421,287,67,115,433,1291,13,54,61,246,83,4280,320,16,48,41,6,73,64,197,1060,31,358,205,43,243,15,583,12,3819,1694,89,6,377,108,37,105,27
Alabama,04-27-2020,6539,228,,6311.0,139.45710473060086,73997.0,872.0,3.4867716776265483,1578.1323411454764,13.335372381098027,810521,23,130,374,380,142,18,11,5135,8871,36,28,518,384,87,109,476,1254,9,66,58,279,81,4607,339,13,48,68,15,88,79,220,1134,35,322,218,37,305,14,642,12,4377,1846,107,19,385,119,52,135,31
Alabama,04-28-2020,6750,242,,6508.0,143.9570969462541,75827.0,911.0,3.585185185185185,1617.1607096509051,13.496296296296293,822406,21,143,404,352,177,27,16,5575,9165,39,38,491,380,80,124,500,1312,16,68,56,282,81,4754,357,17,52,86,13,106,71,243,2440,26,318,229,45,292,20,1100,13,4467,2136,114,11,423,96,64,150,21
Alabama,04-29-2020,6912,256,,6656.0,147.41206727296418,80449.0,945.0,3.7037037037037037,1715.7339988487695,13.671875,778034,14,135,442,374,176,21,15,5268,8220,28,26,536,339,95,131,508,1241,14,66,50,275,83,4411,337,12,62,76,19,103,74,256,2690,31,314,215,41,284,24,1271,12,4289,2144,115,8,421,117,59,120,21
Alabama,04-30-2020,7088,272,0.0,6816.0,151.16561528222945,87196.0,978.0,3.8374717832957113,1859.627114863048,13.797968397291195,850735,8,146,470,450,188,14,19,6219,9916,33,34,538,364,88,158,557,1591,14,51,69,288,85,5408,426,20,44,67,17,128,85,289,1565,29,340,260,40,344,25,810,14,5233,2092,130,11,432,144,60,116,25
Alabama,05-01-2020,7294,289,0.0,7005.0,155.5589726112559,91933.0,1008.0,3.962160680010968,1960.6530064533301,13.81957773512476,1010272,5,137,430,297,102,16,18,7182,12724,3,31,593,385,68,102,516,2127,17,76,45,233,74,7090,399,16,50,60,16,89,40,161,986,27,355,225,35,217,1,651,3,6303,1744,92,7,343,57,56,91,14
Alabama,05-02-2020,7611,288,0.0,7323.0,162.31962442339852,92209.0,1023.0,3.7839968466692944,1966.5392521951323,13.44107213243989,923634,15,106,429,258,91,11,20,7465,15842,5,37,613,431,59,96,605,2487,11,102,50,286,93,7786,449,17,54,58,10,91,47,165,962,22,487,233,29,205,6,627,23,6471,1798,62,2,390,44,60,105,9
Alabama,05-03-2020,7888,290,0.0,7598.0,168.22719714252628,92500.0,1035.0,3.6764705882352944,1972.7454025968154,13.121196754563892,784951,10,105,385,223,114,12,14,5429,11595,5,24,529,404,62,87,502,2447,15,72,41,252,68,6295,419,17,59,42,12,83,38,116,661,26,405,194,20,165,5,463,18,5018,1445,31,18,275,27,44,87,5
Alabama,05-04-2020,8112,298,0.0,7814.0,173.00444006340942,103117.0,1064.0,3.673570019723866,2199.173920860279,13.116370808678505,905175,6,118,459,324,154,33,16,5889,9314,7,29,616,448,104,80,593,2015,10,80,50,337,102,5956,439,17,54,58,8,85,50,161,838,28,429,193,24,189,4,543,21,4980,1673,63,11,345,58,55,135,14
Alabama,05-05-2020,8437,315,,8122.0,179.9357076941549,106766.0,1107.0,3.733554581012208,2276.996061120558,13.12077752755719,910712,7,127,398,304,155,34,15,6000,9476,13,24,680,491,81,82,598,1956,12,87,67,392,107,5601,507,23,70,48,11,89,65,158,908,36,409,215,35,227,10,611,29,5019,1835,74,6,391,64,52,109,16
Alabama,05-06-2020,8691,343,,8348.0,185.3527599347992,109516.0,1158.0,3.9466114371188574,2335.6452487653282,13.324128408698654,924559,14,146,518,318,155,50,6,6515,10082,12,27,670,505,99,87,632,2033,10,98,82,421,83,6039,493,23,74,52,47,116,50,180,917,38,489,222,48,243,13,620,17,5300,2050,135,6,346,73,57,124,22
Alabama,05-07-2020,9046,369,,8677.0,192.92383688530586,115173.0,1178.0,4.079151005969488,2456.291959494952,13.022330311739992,941686,11,161,621,377,179,52,11,7121,10883,11,36,739,495,95,98,775,2950,30,100,55,448,113,6888,623,39,51,53,70,143,54,163,1156,29,534,241,50,303,13,739,17,5898,2171,191,5,375,69,65,132,31
Alabama,05-08-2020,9385,383,,9002.0,200.15368219860665,120114.0,1207.0,4.080980287693127,2561.668554459609,12.86094832179009,937247,17,161,619,391,168,44,12,7738,12415,8,31,787,577,93,99,712,3877,14,106,71,478,96,8177,515,20,42,54,33,138,59,160,966,38,605,327,36,267,10,707,21,6380,2414,96,5,430,79,67,136,10
Alabama,05-09-2020,9668,390,,9278.0,206.18921678168655,125494.0,1228.0,4.0339263549855175,2676.407692470105,12.701696317749276,949545,16,149,637,407,172,42,18,8532,16155,11,30,949,683,100,119,840,4434,8,131,75,474,89,8861,635,27,41,58,19,119,73,165,1065,28,757,341,28,245,6,790,23,7479,2583,102,4,458,88,84,138,11
Alabama,05-10-2020,9889,393,,9496.0,210.9024787705936,127421.0,1240.0,3.9741126504196576,2717.504777776095,12.539184952978056,840018,11,136,452,332,150,26,8,6628,13145,12,29,758,560,81,86,694,4038,9,132,61,415,89,7365,573,28,62,50,16,77,79,132,923,20,596,236,29,233,4,720,7,6212,2200,62,4,386,71,67,141,8
Alabama,05-11-2020,10164,403,,9761.0,216.76739753507061,129444.0,1256.0,3.964974419519873,2760.649252905321,12.357339630066905,904659,20,125,561,372,174,30,13,6461,10557,13,41,844,614,98,93,759,3567,12,113,81,458,88,6622,637,30,65,63,14,105,65,170,966,19,600,225,28,299,3,694,9,6050,2264,70,5,396,76,73,173,26
Alabama,05-12-2020,10464,435,,10029.0,223.16549073268192,133218.0,1287.0,4.157110091743119,2841.1372653312706,12.299311926605506,926422,16,159,640,417,180,29,16,6989,10871,10,27,916,636,127,105,775,3162,17,133,67,464,86,6727,649,35,63,64,14,103,90,180,1076,29,597,295,22,269,8,679,7,5934,2444,90,11,385,91,69,130,33
Alabama,05-13-2020,10700,450,,10250.0,228.19865738146942,136372.0,1317.0,4.205607476635514,2908.402551815491,12.30841121495327,936204,26,176,710,454,143,22,23,7049,11162,13,32,965,633,160,101,827,3383,14,112,72,450,102,7104,693,25,66,63,21,114,114,228,996,18,638,314,20,315,10,762,4,6052,2492,77,6,418,90,58,152,32
Alabama,05-14-2020,11101,473,,10628.0,226.40385790052792,141985.0,1350.0,4.260877398432574,2895.7708101978606,12.161066570579223,938898,26,164,735,467,145,32,19,6952,12162,12,34,1039,738,122,131,994,4292,14,126,69,567,103,7732,714,31,63,64,23,116,100,238,1073,29,630,350,27,352,13,778,13,6612,2557,85,10,425,92,89,180,22
Alabama,05-15-2020,11373,483,,10890.0,231.95127248920846,146063.0,1377.0,4.246900553943552,2978.9412392149184,12.10762331838565,995656,17,174,878,497,183,29,9,8087,15375,10,31,1184,900,127,170,1212,5475,14,150,58,550,119,9944,820,41,72,58,18,144,72,249,1115,32,690,387,20,359,5,776,13,7858,2871,85,13,441,112,86,190,35
Alabama,05-16-2020,11674,485,,11189.0,238.0901393685941,153494.0,1387.0,4.154531437382217,3130.49578998141,11.881103306493065,935413,26,188,971,448,202,26,12,8988,18667,13,36,1298,1036,144,191,1431,6164,20,177,54,603,128,11473,815,29,66,79,14,152,83,281,1254,19,784,468,33,420,10,807,5,8799,3068,113,4,481,107,89,167,24
Alabama,05-17-2020,11771,488,,11283.0,240.0684453064692,156350.0,1392.0,4.145782006626456,3188.743643162557,11.825673264803331,842304,18,178,934,407,203,28,13,7071,15240,12,50,1160,896,139,144,1297,6360,21,160,55,513,130,9541,793,26,74,81,6,126,63,237,1009,21,738,464,32,393,9,658,5,7673,2696,54,8,451,81,102,166,20
Alabama,05-18-2020,12086,489,,11597.0,246.49284087791915,157123.0,1416.0,4.046003640575873,3204.5089059458287,11.716035081912956,949670,25,182,959,465,182,35,19,7007,11745,10,37,1101,858,146,164,1294,4710,21,166,52,475,137,8283,844,30,58,121,12,142,63,269,983,27,618,491,30,334,2,656,11,7202,2523,116,5,447,93,115,162,23
Alabama,05-19-2020,12376,504,,11872.0,252.40736378496842,157566.0,1453.0,4.072398190045249,3213.543849559011,11.740465416936006,965552,32,204,937,512,209,28,23,7274,11654,12,27,1110,767,116,162,1053,4120,14,180,71,495,113,7898,788,25,65,100,19,164,75,254,1068,28,665,502,34,341,5,684,7,7079,2645,96,2,511,93,98,193,21
Alabama,05-20-2020,13052,522,,12530.0,266.19432063036584,164450.0,1493.0,3.9993870671161513,3353.9423864284136,11.43885994483604,995513,21,179,1083,548,253,47,28,7588,12824,11,43,1182,936,167,193,1163,4518,29,153,100,523,132,8389,895,34,75,89,20,179,67,217,1224,25,704,512,51,388,7,817,5,7713,3036,92,4,574,92,125,221,24
Alabama,05-21-2020,13288,529,,12759.0,271.00751858230933,170739.0,1528.0,3.9810355207706203,3482.2059538850767,11.499096929560508,1025045,24,210,1195,571,266,44,27,8226,14747,13,34,1212,1018,159,190,1268,5303,26,207,112,599,158,9611,907,30,85,104,34,184,66,255,1409,31,797,579,39,358,15,859,3,8759,3382,106,8,625,116,126,219,30
Alabama,05-22-2020,13670,541,7951.0,5178.0,278.7983728943533,177768.0,1561.0,3.9575713240673007,3625.5617522080042,11.419166057059257,1068580,29,217,1527,596,252,48,23,10164,20609,13,32,1647,1316,163,266,1735,7205,27,273,108,736,171,13037,1152,33,78,134,32,199,80,388,1754,38,1039,754,57,427,17,1084,5,11272,3937,139,9,764,136,156,251,27
Alabama,05-23-2020,14117,549,7951.0,5617.0,287.9148961338396,182676.0,1589.0,3.88892824254445,3725.6599536831673,11.255932563575833,955337,41,221,1764,574,308,44,35,10982,25133,13,38,1949,1590,178,295,1880,7848,28,203,98,712,188,15426,1443,22,85,96,24,167,93,346,1790,30,1051,689,51,407,26,1099,12,13476,4167,111,6,765,114,147,255,17
Alabama,05-24-2020,14478,551,7951.0,5976.0,295.27745740778704,185799.0,1612.0,3.8057742782152233,3789.353246920114,11.134134548970852,859792,59,202,1558,537,267,39,33,8872,20976,18,48,1597,1339,186,212,1593,7807,23,213,81,589,149,13877,1286,27,89,91,22,155,76,313,1645,27,897,639,59,402,20,976,14,10587,3830,105,13,649,112,121,242,20
Alabama,05-25-2020,14986,566,7951.0,6469.0,305.63806994841116,190315.0,1629.0,3.7768584011744295,3881.456645017474,10.870145469104498,850785,44,205,1562,550,246,54,25,8143,19420,15,54,1415,1234,133,209,1567,7316,18,165,69,579,120,12152,1296,28,99,94,16,128,88,306,1462,25,879,655,49,324,15,866,24,10505,3651,107,7,625,95,126,302,22
